"KIC","KOI","KepName","Period","T0","T14","ld1","ld2","R_star","rad_up","rad_down","mass","mass_up","mass_down"
11446443,1.01,"Kepler-1 b",2.470613377,122.763305,0.072632916666667,0.2676,0.3928,0.964,0.038,-0.038,0.971,0.062,-0.056
11904151,72.01,"Kepler-10 b",0.837491225,131.574858,0.074833333333333,0.2676,0.3928,1.044,0.057,-0.042,0.884,0.069,-0.042
11904151,72.02,"Kepler-10 c",45.29422297,138.678725,0.284583333333333,0.2676,0.3928,1.044,0.057,-0.042,0.884,0.069,-0.042
6521045,41.02,"Kepler-100 b",6.88707073,133.17797,0.1861625,0.2638,0.4046,1.474,0.094,-0.079,1.05,0.126,-0.068
6521045,41.01,"Kepler-100 c",12.81590421,122.94682,0.266066666666667,0.2638,0.4046,1.474,0.094,-0.079,1.05,0.126,-0.068
6521045,41.03,"Kepler-100 d",35.3331932,153.98249,0.248583333333333,0.2638,0.4046,1.474,0.094,-0.079,1.05,0.126,-0.068
10063802,1888.01,"Kepler-1000 b",120.0183551,134.18742,0.484875,0.3206,0.3146,1.467,0.24,-0.111,1.406,0.086,-0.086
11074178,1889.01,"Kepler-1001 b",14.30517579,135.06301,0.188958333333333,0.2711,0.3858,0.846,0.236,-0.079,0.938,0.098,-0.109
7449136,1890.01,"Kepler-1002 b",4.33643506,133.85442,0.1726875,0.3052,0.3236,1.603,0.057,-0.082,1.275,0.064,-0.128
8689793,1893.01,"Kepler-1003 b",3.554856338,131.80398,0.087516666666667,0.2979,0.3238,0.831,0.24,-0.06,0.931,0.089,-0.119
11673802,1894.01,"Kepler-1004 b",5.28790754,135.36119,0.355308333333333,0.1611,0.5645,3.818,0.185,-0.517,1.441,0.121,-0.338
7668663,1898.01,"Kepler-1005 b",6.4980147,136.00108,0.1016,0.2622,0.4035,1.104,0.164,-0.164,0.946,0.072,-0.057
7047922,1899.01,"Kepler-1006 b",19.76169247,135.17794,0.162904166666667,0.302,0.319,1.175,0.389,-0.259,1.064,0.212,-0.173
9353314,1900.01,"Kepler-1007 b",5.18498961,131.8814,0.089154166666667,0.1496,0.5738,0.56,0.045,-0.056,0.547,0.056,-0.038
8766650,1904.01,"Kepler-1008 b",12.43929428,136.37952,0.132333333333333,0.1611,0.5575,0.773,0.036,-0.053,0.742,0.06,-0.028
7094486,1907.01,"Kepler-1009 b",11.35010642,134.04612,0.094966666666667,0.2417,0.505,0.514,0.026,-0.051,0.522,0.031,-0.046
10905239,46.01,"Kepler-101 b",3.487688776,170.932217,0.15985875,0.2245,0.4725,1.593,0.235,-0.382,1.074,0.108,-0.097
10905239,46.02,"Kepler-101 c",6.02977241,132.48162,0.165041666666667,0.2245,0.4725,1.593,0.235,-0.382,1.074,0.108,-0.097
8226050,1910.01,"Kepler-1010 b",34.2685741,147.05143,0.201045833333333,0.1451,0.582,0.872,0.042,-0.072,0.815,0.053,-0.028
9965957,1911.01,"Kepler-1011 b",5.75321539,136.75617,0.074783333333333,0.2111,0.4955,0.929,0.229,-0.076,1.017,0.074,-0.101
9704384,1913.01,"Kepler-1012 b",5.50860699,132.2983,0.128283333333333,0.2327,0.4526,0.883,0.092,-0.067,0.877,0.055,-0.05
8426567,1914.01,"Kepler-1013 b",18.93055119,143.25058,0.1405,0.1466,0.5849,1.643,0.837,-0.067,0.955,0.174,-0.127
8218379,1920.01,"Kepler-1014 b",16.57099265,133.90704,0.12105,0.2434,0.4341,0.779,0.164,-0.059,0.865,0.083,-0.102
7755636,1921.01,"Kepler-1015 b",16.00496657,135.25305,0.271029166666667,0.3168,0.2958,1.904,0.388,-0.534,1.412,0.134,-0.201
9411166,1922.01,"Kepler-1016 b",1.954525966,132.29679,0.087266666666667,0.2555,0.4191,1.136,0.18,-0.147,1.01,0.073,-0.061
9411166,1922.03,"Kepler-1016 c",105.6552651,230.09865,0.39125,0.2555,0.4191,1.136,0.18,-0.147,1.01,0.073,-0.061
4989057,1923.01,"Kepler-1017 b",7.23400381,137.67742,0.090208333333333,0.2327,0.4526,0.85,0.091,-0.045,0.879,0.049,-0.054
9072190,1933.01,"Kepler-1018 b",49.1011093,136.47265,0.264208333333333,0.224,0.4695,1.11,0.261,-0.189,0.895,0.063,-0.037
10190777,1937.01,"Kepler-1019 b",1.411230023,132.641925,0.0596875,0.0628,0.6908,0.737,0.02,-0.043,0.726,0.039,-0.027
10187017,82.05,"Kepler-102 b",5.28691996,135.85427,0.107458333333333,0.1496,0.5746,0.741,0.048,-0.03,0.806,0.033,-0.049
10187017,82.04,"Kepler-102 c",7.07136119,139.98763,0.114875,0.1496,0.5746,0.741,0.048,-0.03,0.806,0.033,-0.049
10187017,82.02,"Kepler-102 d",10.31174786,134.07991,0.132575,0.1496,0.5746,0.741,0.048,-0.03,0.806,0.033,-0.049
10187017,82.01,"Kepler-102 e",16.145671932,134.754877,0.15515,0.1496,0.5746,0.741,0.048,-0.03,0.806,0.033,-0.049
10187017,82.03,"Kepler-102 f",27.4536146,145.02866,0.156125,0.1496,0.5746,0.741,0.048,-0.03,0.806,0.033,-0.049
9651234,1938.01,"Kepler-1020 b",96.9151707,187.08955,0.252708333333333,0.1959,0.5086,0.791,0.056,-0.042,0.826,0.046,-0.046
7045496,1939.01,"Kepler-1021 b",13.47472742,133.48999,0.1083125,0.2521,0.421,0.734,0.123,-0.057,0.821,0.076,-0.093
10005788,1940.01,"Kepler-1022 b",10.99470891,137.35769,0.066370833333333,0.1496,0.5738,0.586,0.049,-0.059,0.573,0.062,-0.045
11656918,1945.01,"Kepler-1023 b",62.1385979,161.14834,0.178908333333333,0.1507,0.5775,1.621,0.26,-0.059,0.941,0.072,-0.109
3118797,1950.01,"Kepler-1024 b",66.4159789,188.13988,0.294208333333333,0.2434,0.4341,0.759,0.143,-0.061,0.851,0.078,-0.096
8081187,1951.01,"Kepler-1025 b",37.3228722,152.83532,0.300608333333333,0.1738,0.5555,19.53,1.236,-4.943,3.573,0.03,-0.544
4813563,1959.01,"Kepler-1026 b",36.5157639,151.28989,0.152404166666667,0.1054,0.6323,0.781,0.03,-0.045,0.772,0.05,-0.029
7269493,1961.01,"Kepler-1027 b",1.907810683,131.63784,0.077945833333333,0.2291,0.4603,0.824,0.086,-0.033,0.937,0.039,-0.072
11657891,1965.01,"Kepler-1028 b",2.514628496,132.90904,0.0676625,0.2676,0.3928,0.84,0.207,-0.069,0.937,0.083,-0.115
6205897,1967.01,"Kepler-1029 b",4.417692516,133.96139,0.096791666666667,0.1196,0.6106,0.664,0.037,-0.027,0.723,0.029,-0.051
4914423,108.02,"Kepler-103 c",179.609803,295.330361,0.573125,0.2891,0.3589,1.433,0.09,-0.072,1.068,0.124,-0.067
9347009,1971.01,"Kepler-1030 b",19.32945602,133.26717,0.158083333333333,0.1451,0.582,0.763,0.093,-0.046,0.875,0.037,-0.086
11253711,1972.02,"Kepler-1031 b",1.226223959,132.6827,0.090370833333333,0.2787,0.3719,1.34,0.221,-0.294,0.92,0.069,-0.062
4917596,1973.01,"Kepler-1032 b",3.290114076,133.15709,0.063129166666667,0.0966,0.6414,0.594,0.046,-0.051,0.58,0.063,-0.039
8543100,1975.01,"Kepler-1033 b",7.56052209,134.47889,0.160720833333333,0.2868,0.3588,0.94,0.282,-0.094,1.026,0.115,-0.14
2693736,1976.01,"Kepler-1034 b",12.12401737,134.955,0.137879166666667,0.1451,0.582,0.87,0.042,-0.072,0.813,0.057,-0.028
7273277,1979.01,"Kepler-1035 b",2.714078374,133.71179,0.054645833333333,0.2602,0.4096,0.992,0.152,-0.065,1.038,0.056,-0.069
11769890,1980.01,"Kepler-1036 b",122.8799543,165.46356,0.326458333333333,0.2327,0.4526,0.861,0.088,-0.051,0.875,0.054,-0.049
10153855,1981.01,"Kepler-1037 b",1.06378861,131.52465,0.044666666666667,0.1742,0.5484,1.002,0.251,-0.154,0.919,0.064,-0.064
8257205,1986.01,"Kepler-1038 b",148.4601819,151.38686,0.229125,0.186,0.5256,0.821,0.055,-0.039,0.868,0.035,-0.049
9044228,1988.01,"Kepler-1039 b",0.934885365,131.580676,0.058679166666667,0.098,0.6538,1.795,1.067,-0.039,0.953,0.187,-0.168
6678383,111.01,"Kepler-104 b",11.427550984,137.613711,0.191975,0.2965,0.3342,1.005,0.138,-0.113,0.913,0.058,-0.058
6678383,111.02,"Kepler-104 c",23.66834635,132.71421,0.242904166666667,0.2965,0.3342,1.005,0.138,-0.113,0.913,0.058,-0.058
6678383,111.03,"Kepler-104 d",51.75530504,271.08808,0.3098125,0.2965,0.3342,1.005,0.138,-0.113,0.913,0.058,-0.058
10779233,1989.01,"Kepler-1040 b",201.118319,187.56986,0.430333333333333,0.2622,0.4035,0.954,0.135,-0.083,0.929,0.066,-0.053
4736569,1996.01,"Kepler-1042 b",10.13200555,132.91155,0.1320125,0.1941,0.5188,0.561,0.038,-0.038,0.561,0.047,-0.024
10384798,1997.01,"Kepler-1043 b",38.505224,158.30491,0.247541666666667,0.2979,0.3238,0.881,0.243,-0.087,0.904,0.11,-0.1
9834040,1998.01,"Kepler-1044 b",6.77408984,135.95524,0.109229166666667,0.3024,0.3288,1.092,0.329,-0.141,1.18,0.141,-0.173
8802693,2000.01,"Kepler-1045 b",26.41044199,149.39541,0.127979166666667,0.2521,0.421,0.734,0.131,-0.056,0.815,0.083,-0.092
10024701,2002.01,"Kepler-1046 b",14.37504582,139.05924,0.133666666666667,0.2868,0.3588,1.053,0.168,-0.104,1.023,0.075,-0.068
12154526,2004.01,"Kepler-1047 b",56.1886436,146.37945,0.271966666666667,0.2514,0.4282,1.176,0.182,-0.149,1.071,0.066,-0.066
12154526,2004.02,"Kepler-1047 c",3.18899015,133.52624,0.113416666666667,0.2514,0.4282,1.176,0.182,-0.149,1.071,0.066,-0.066
6665512,2005.01,"Kepler-1048 b",6.92101452,135.64343,0.181629166666667,0.0966,0.6414,0.585,0.049,-0.054,0.571,0.061,-0.038
10525027,2006.01,"Kepler-1049 b",3.27344784,134.45023,0.07205,0.3872,0.3156,0.496,0.042,-0.042,0.528,0.034,-0.046
9579641,115.01,"Kepler-105 b",5.412203927,133.143089,0.1228,0.2676,0.3928,1.087,0.157,-0.142,0.941,0.074,-0.054
9579641,115.02,"Kepler-105 c",7.12594387,139.00492,0.125058333333333,0.2676,0.3928,1.087,0.157,-0.142,0.941,0.074,-0.054
11069176,2007.01,"Kepler-1050 b",15.3789014,143.40629,0.19425,0.26,0.4133,2.153,0.272,-0.76,1.276,0.113,-0.21
11069176,2007.02,"Kepler-1050 c",21.1285655,149.27632,0.1605,0.26,0.4133,2.153,0.272,-0.76,1.276,0.113,-0.21
5631630,2010.01,"Kepler-1051 b",25.96190067,138.96908,0.261383333333333,0.3052,0.3236,1.729,0.315,-0.386,1.337,0.123,-0.148
9839821,2012.01,"Kepler-1052 b",34.8536903,164.04668,0.222208333333333,0.2711,0.3858,0.848,0.199,-0.071,0.937,0.09,-0.121
4056616,2013.01,"Kepler-1053 b",2.41434868,132.42878,0.052920833333333,0.0628,0.6908,0.724,0.02,-0.035,0.715,0.04,-0.025
8492026,2016.01,"Kepler-1054 b",4.30656389,132.44098,0.171279166666667,0.2844,0.3661,1.03,0.357,-0.119,1.132,0.153,-0.153
8750043,2017.01,"Kepler-1055 b",2.29503515,132.69329,0.068916666666667,0.2676,0.3928,0.909,0.123,-0.066,0.914,0.057,-0.057
9973109,2018.01,"Kepler-1056 b",27.495634,133.28538,0.202416666666667,0.2865,0.3556,0.911,0.262,-0.161,0.762,0.124,-0.044
6226290,2019.01,"Kepler-1057 b",14.08826442,137.34334,0.1743625,0.2676,0.3928,0.895,0.26,-0.087,0.99,0.116,-0.127
9349482,2020.01,"Kepler-1058 b",110.9643706,187.04621,0.534625,0.1554,0.5738,0.546,0.039,-0.049,0.538,0.045,-0.034
6356207,2021.01,"Kepler-1059 b",3.76417012,132.35462,0.083795833333333,0.1611,0.5575,0.728,0.093,-0.058,0.813,0.063,-0.095
8395660,116.03,"Kepler-106 b",6.164876,135.63916,0.135916666666667,0.2676,0.3928,1.012,0.154,-0.103,0.951,0.07,-0.063
8395660,116.01,"Kepler-106 c",13.57078281,136.279194,0.139745833333333,0.2676,0.3928,1.012,0.154,-0.103,0.951,0.07,-0.063
8395660,116.04,"Kepler-106 d",23.9800854,147.537,0.222958333333333,0.2676,0.3928,1.012,0.154,-0.103,0.951,0.07,-0.063
8395660,116.02,"Kepler-106 e",43.84439721,151.93538,0.283416666666667,0.2676,0.3928,1.012,0.154,-0.103,0.951,0.07,-0.063
4544907,2024.01,"Kepler-1060 b",46.8776724,137.66791,0.418375,0.224,0.4695,0.993,0.13,-0.087,0.943,0.055,-0.045
11923284,2026.01,"Kepler-1061 b",2.757977384,131.87907,0.0895375,0.2889,0.3511,1,0.146,-0.079,0.994,0.064,-0.071
5940165,2031.01,"Kepler-1062 b",9.30413878,140.33868,0.080225,0.0775,0.666,0.658,0.046,-0.061,0.645,0.07,-0.051
2985767,2032.01,"Kepler-1063 b",14.07969236,139.96053,0.057291666666667,0.2638,0.4046,1.547,0.27,-0.406,1.092,0.114,-0.083
2304320,2033.01,"Kepler-1064 b",16.54081386,133.95274,0.108316666666667,0.153,0.5684,0.769,0.049,-0.038,0.806,0.04,-0.045
3657758,2034.01,"Kepler-1065 b",3.609313059,133.79024,0.073966666666667,0.2622,0.4035,0.868,0.246,-0.082,0.963,0.104,-0.115
3657758,2034.02,"Kepler-1065 c",2.3702932,133.6801,0.069416666666667,0.2622,0.4035,0.868,0.246,-0.082,0.963,0.104,-0.115
9790806,2035.01,"Kepler-1066 b",1.93155546,131.76708,0.06725,0.2291,0.4603,0.858,0.101,-0.034,0.957,0.033,-0.071
8804845,2039.02,"Kepler-1067 b",0.762132307,131.61542,0.050833333333333,0.224,0.4695,0.934,0.127,-0.054,0.981,0.048,-0.066
9656252,2044.01,"Kepler-1068 b",16.92342126,145.81407,0.174433333333333,0.2555,0.4191,0.99,0.147,-0.063,1.044,0.051,-0.072
10663396,2046.01,"Kepler-1069 b",23.8990075,151.39847,0.664791666666667,0.2329,0.4554,1.93,0.34,-0.51,1.115,0.11,-0.152
10875245,117.03,"Kepler-107 b",3.180027898,133.49863,0.149154166666667,0.257,0.4213,1.402,0.063,-0.046,1.113,0.092,-0.05
10875245,117.02,"Kepler-107 c",4.90144976,138.60548,0.173558333333333,0.257,0.4213,1.402,0.063,-0.046,1.113,0.092,-0.05
10875245,117.04,"Kepler-107 d",7.95825328,137.80219,0.182375,0.257,0.4213,1.402,0.063,-0.046,1.113,0.092,-0.05
10875245,117.01,"Kepler-107 e",14.74914825,138.77799,0.254145833333333,0.257,0.4213,1.402,0.063,-0.046,1.113,0.092,-0.05
11457726,2047.01,"Kepler-1070 b",6.22161107,131.99094,0.142154166666667,0.3029,0.3239,1.097,0.186,-0.062,1.148,0.08,-0.08
8956206,2048.01,"Kepler-1071 b",6.17998508,132.72278,0.087891666666667,0.1959,0.5086,0.791,0.051,-0.042,0.811,0.046,-0.041
9649706,2049.01,"Kepler-1072 b",1.569066598,133.04032,0.115845833333333,0.2638,0.4046,1.395,0.228,-0.279,1.054,0.097,-0.081
3128552,2055.01,"Kepler-1073 b",8.67890312,133.03651,0.147154166666667,0.224,0.4695,1.116,0.169,-0.186,0.924,0.062,-0.043
3128552,2055.02,"Kepler-1073 c",4.02582434,135.42508,0.1169125,0.224,0.4695,1.116,0.169,-0.186,0.924,0.062,-0.043
9573685,2057.01,"Kepler-1074 b",5.94565516,133.99359,0.090016666666667,0.2238,0.5081,0.564,0.03,-0.034,0.581,0.032,-0.035
10329835,2058.01,"Kepler-1075 b",1.52373073,131.61813,0.06165,0.3037,0.4224,0.51,0.033,-0.05,0.516,0.038,-0.042
12301181,2059.01,"Kepler-1076 b",6.14728341,134.87289,0.1151875,0.153,0.5684,0.746,0.049,-0.03,0.806,0.035,-0.051
6774880,2062.01,"Kepler-1077 b",34.3511339,134.19046,0.185033333333333,0.2889,0.3511,0.967,0.325,-0.101,1.045,0.14,-0.14
7449541,2063.01,"Kepler-1078 b",3.00725068,131.90484,0.184591666666667,0.2787,0.3728,0.781,0.169,-0.061,0.873,0.088,-0.107
9304101,2067.01,"Kepler-1079 b",13.24503482,142.00573,0.183658333333333,0.2638,0.4046,1.39,0.223,-0.298,0.988,0.093,-0.067
9471974,119.01,"Kepler-108 b",49.18394185,141.911924,0.47235,0.257,0.4213,2.057,0.125,-0.138,1.247,0.082,-0.067
9471974,119.02,"Kepler-108 c",190.3200468,312.68498,0.636833333333333,0.257,0.4213,2.057,0.125,-0.138,1.247,0.082,-0.067
11360571,2069.01,"Kepler-1080 b",77.2550726,159.32399,0.425583333333333,0.311,0.2914,1.356,0.417,-0.243,1.212,0.188,-0.188
6035124,2071.01,"Kepler-1081 b",3.85690686,134.47405,0.0867,0.1914,0.5167,0.813,0.08,-0.029,0.902,0.032,-0.064
12058147,2072.01,"Kepler-1082 b",1.54320541,131.5554,0.1074125,0.2736,0.3819,1.282,0.207,-0.253,0.95,0.081,-0.067
8866137,2074.01,"Kepler-1083 b",33.4178173,155.58781,0.193541666666667,0.2043,0.4966,0.744,0.096,-0.059,0.827,0.057,-0.098
10857519,2075.01,"Kepler-1084 b",2.053341891,134.51606,0.108166666666667,0.291,0.3469,1.358,0.239,-0.239,1.076,0.102,-0.081
9517393,2076.02,"Kepler-1085 b",219.3215562,320.72862,0.517183333333333,0.2844,0.3661,1.012,0.252,-0.108,1.117,0.12,-0.16
9351316,2078.01,"Kepler-1086 b",18.78429232,137.88207,0.129733333333333,0.0718,0.6834,0.641,0.025,-0.03,0.651,0.034,-0.03
9351316,2078.02,"Kepler-1086 c",161.515617,176.49978,0.272833333333333,0.0718,0.6834,0.641,0.025,-0.03,0.651,0.034,-0.03
9473078,2079.01,"Kepler-1087 b",0.693842661,132.18157,0.0674875,0.2329,0.4554,1.196,0.251,-0.279,0.903,0.06,-0.042
6922710,2087.01,"Kepler-1088 b",23.1274171,145.66194,0.204208333333333,0.2602,0.4096,1.066,0.166,-0.097,1.024,0.074,-0.067
11348997,2090.01,"Kepler-1089 b",5.132486123,132.15985,0.060729166666667,0.069,0.6858,0.578,0.032,-0.027,0.619,0.023,-0.035
5094751,123.01,"Kepler-109 b",6.481633073,122.977657,0.157666666666667,0.291,0.3469,1.302,0.058,-0.058,1.009,0.057,-0.047
5094751,123.02,"Kepler-109 c",21.22261195,137.57403,0.271220833333333,0.291,0.3469,1.302,0.058,-0.058,1.009,0.057,-0.047
8505920,2094.02,"Kepler-1090 b",198.680859,270.66535,0.345083333333333,0.186,0.5256,1.013,0.162,-0.133,0.869,0.065,-0.035
7918992,2095.01,"Kepler-1091 b",1.434745129,132.62802,0.077583333333333,0.2555,0.4191,1.064,0.167,-0.09,1.037,0.069,-0.063
10158729,2097.01,"Kepler-1092 b",58.601926,137.66825,0.230083333333333,0.3032,0.3147,1.019,0.335,-0.112,1.038,0.158,-0.129
6105462,2098.01,"Kepler-1093 b",25.0823402,134.13568,0.267625,0.3025,0.2923,1.262,0.335,-0.274,1.011,0.16,-0.117
6105462,2098.02,"Kepler-1093 c",89.7224125,163.15815,0.456791666666667,0.3025,0.2923,1.262,0.335,-0.274,1.011,0.16,-0.117
3120355,2099.01,"Kepler-1094 b",78.0998908,139.49646,0.350916666666667,0.26,0.4133,1.284,0.215,-0.215,1.039,0.081,-0.065
6047072,2100.01,"Kepler-1095 b",4.27103727,133.14028,0.094829166666667,0.2916,0.3447,0.906,0.279,-0.093,0.993,0.121,-0.121
9411412,2101.01,"Kepler-1096 b",2.892216772,132.87726,0.05665,0.0853,0.6656,0.615,0.025,-0.031,0.625,0.029,-0.033
7008211,2102.01,"Kepler-1097 b",187.746606,157.35064,0.245208333333333,0.2337,0.4535,0.753,0.104,-0.076,0.734,0.101,-0.05
7620413,2103.01,"Kepler-1098 b",2.543063763,132.68159,0.1186375,0.2291,0.4603,1.029,0.152,-0.114,0.945,0.066,-0.048
10854546,2104.01,"Kepler-1099 b",2.168451063,132.14107,0.06075,0.3029,0.3239,1.109,0.366,-0.157,1.077,0.181,-0.12
6541920,157.06,"Kepler-11 b",10.30401132,138.50377,0.176025,0.2622,0.4035,1.046,0.068,-0.068,0.921,0.071,-0.052
6541920,157.01,"Kepler-11 c",13.02493307,138.176157,0.190441666666667,0.2622,0.4035,1.046,0.068,-0.068,0.921,0.071,-0.052
6541920,157.02,"Kepler-11 d",22.687155,148.455435,0.2288375,0.2622,0.4035,1.046,0.068,-0.068,0.921,0.071,-0.052
6541920,157.03,"Kepler-11 e",31.99552485,154.160745,0.178404166666667,0.2622,0.4035,1.046,0.068,-0.068,0.921,0.071,-0.052
6541920,157.04,"Kepler-11 f",46.6856205,225.04604,0.265808333333333,0.2622,0.4035,1.046,0.068,-0.068,0.921,0.071,-0.052
6541920,157.05,"Kepler-11 g",118.3786735,287.28744,0.398225,0.2622,0.4035,1.046,0.068,-0.068,0.921,0.071,-0.052
11086270,124.01,"Kepler-110 b",12.69104387,137.12594,0.157195833333333,0.2736,0.3819,1.626,0.254,-0.413,1.019,0.098,-0.098
11086270,124.02,"Kepler-110 c",31.71981013,142.82083,0.200791666666667,0.2736,0.3819,1.626,0.254,-0.413,1.019,0.098,-0.098
8165946,2105.01,"Kepler-1100 b",6.42199919,134.58037,0.109133333333333,0.2868,0.3588,0.981,0.154,-0.055,1.03,0.064,-0.064
9225395,2107.01,"Kepler-1101 b",81.3153052,175.9957,0.241958333333333,0.1914,0.5167,0.975,0.115,-0.126,0.852,0.066,-0.033
10709622,2108.01,"Kepler-1102 b",51.3283527,177.67418,0.389875,0.2889,0.3511,1.119,0.35,-0.175,1.027,0.167,-0.125
11499228,2109.01,"Kepler-1103 b",19.7919389,149.30719,0.157791666666667,0.3032,0.3147,1.039,0.349,-0.116,1.084,0.158,-0.144
11460462,2110.01,"Kepler-1104 b",5.03728033,134.1094,0.0859125,0.3155,0.3031,1.381,0.253,-0.156,1.306,0.093,-0.103
6921944,2114.01,"Kepler-1105 b",4.421566535,132.18465,0.088454166666667,0.0338,0.7306,0.697,0.019,-0.032,0.713,0.024,-0.024
8164012,2116.01,"Kepler-1106 b",1.252753881,133.17054,0.089466666666667,0.2865,0.3671,1.705,0.261,-0.392,1.165,0.132,-0.108
4055304,2119.01,"Kepler-1107 b",0.571038347,131.653752,0.046945833333333,0.186,0.5256,0.886,0.045,-0.083,0.82,0.058,-0.031
9415108,2121.01,"Kepler-1108 b",4.51005082,134.56954,0.089720833333333,0.186,0.5256,1.032,0.142,-0.142,0.873,0.064,-0.032
4262581,2122.01,"Kepler-1109 b",37.6468519,161.46355,0.264333333333333,0.2326,0.4637,2.652,0.402,-0.939,1.41,0.149,-0.348
8559644,139.02,"Kepler-111 b",3.341799486,141.35472,0.121891666666667,0.2555,0.4191,1.235,0.213,-0.194,1.092,0.08,-0.089
8559644,139.01,"Kepler-111 c",224.7789355,142.095338,0.466245833333333,0.2555,0.4191,1.235,0.213,-0.194,1.092,0.08,-0.089
3546060,2126.01,"Kepler-1110 b",9.69310837,134.53003,0.113916666666667,0.1392,0.5856,0.618,0.054,-0.054,0.607,0.067,-0.033
9351920,2129.01,"Kepler-1111 b",8.79618433,135.67645,0.140754166666667,0.3024,0.3288,1.046,0.286,-0.102,1.143,0.13,-0.143
10549023,2131.01,"Kepler-1112 b",14.36270451,141.435,0.190166666666667,0.3169,0.2751,1.216,0.35,-0.15,1.235,0.156,-0.174
4254466,2134.01,"Kepler-1113 b",42.3006282,168.77783,0.182166666666667,0.2602,0.4096,1.129,0.193,-0.119,1.048,0.074,-0.059
9364609,2137.01,"Kepler-1114 b",14.97436238,141.50057,0.101920833333333,0.2075,0.49,0.8,0.057,-0.057,0.796,0.052,-0.039
5022828,2138.01,"Kepler-1115 b",23.5541012,144.21486,0.304166666666667,0.2915,0.2099,2.286,0.841,-0.688,2.335,0.366,-0.679
8233702,2140.01,"Kepler-1116 b",41.6977582,134.24608,0.229708333333333,0.2676,0.3928,0.87,0.234,-0.078,0.968,0.106,-0.116
11403339,2143.01,"Kepler-1117 b",4.79029482,134.95277,0.1134125,0.2291,0.4603,0.843,0.086,-0.033,0.945,0.032,-0.069
8260902,2144.01,"Kepler-1118 b",38.6715843,157.61988,0.2305,0.2434,0.4341,0.913,0.306,-0.141,0.801,0.124,-0.057
8381204,2145.01,"Kepler-1119 b",8.32651854,135.58655,0.228458333333333,0.2889,0.3511,1,0.33,-0.11,1.024,0.153,-0.126
7626506,150.01,"Kepler-112 b",8.408878137,134.006366,0.145695833333333,0.2665,0.398,0.812,0.07,-0.07,0.776,0.058,-0.039
7626506,150.02,"Kepler-112 c",28.5742692,143.8315,0.205945833333333,0.2665,0.398,0.812,0.07,-0.07,0.776,0.058,-0.039
6774537,2146.01,"Kepler-1120 b",2.949029106,133.13832,0.084629166666667,0.1496,0.5746,0.807,0.064,-0.085,0.771,0.085,-0.056
10617017,2149.01,"Kepler-1121 b",13.15140223,144.16237,0.226625,0.3052,0.3236,1.636,0.308,-0.339,1.287,0.119,-0.145
9641481,2152.01,"Kepler-1122 b",42.1918331,155.31211,0.295125,0.224,0.4695,1.08,0.15,-0.15,0.928,0.062,-0.043
12116380,2155.01,"Kepler-1123 b",4.3394569,132.80309,0.09855,0.186,0.5256,1.013,0.139,-0.139,0.869,0.06,-0.034
2556650,2156.01,"Kepler-1124 b",2.852348262,132.044534,0.029379166666667,0.4418,0.2405,0.433,0.047,-0.052,0.463,0.041,-0.055
5546761,2160.01,"Kepler-1125 b",17.6700291,131.60103,0.278875,0.2555,0.4191,1.247,0.209,-0.209,1.042,0.079,-0.063
9205938,2162.01,"Kepler-1126 b",108.593113,173.75198,0.332875,0.2865,0.3556,0.921,0.115,-0.115,0.794,0.071,-0.03
7204981,2164.01,"Kepler-1127 b",5.1233204,132.08472,0.114441666666667,0.1914,0.5167,0.982,0.105,-0.116,0.872,0.064,-0.032
4370527,2166.01,"Kepler-1128 b",61.6174528,179.08282,0.159,0.224,0.4695,0.931,0.115,-0.053,0.966,0.039,-0.054
6041734,2167.01,"Kepler-1129 b",24.3398202,136.05813,0.162125,0.2329,0.4554,1.466,0.244,-0.326,0.998,0.081,-0.066
6041734,2167.03,"Kepler-1129 c",76.5369531,164.15644,0.23225,0.2329,0.4554,1.466,0.244,-0.326,0.998,0.081,-0.066
12252424,153.02,"Kepler-113 b",4.75400072,128.547155,0.105808333333333,0.1082,0.627,0.693,0.049,-0.021,0.768,0.031,-0.047
12252424,153.01,"Kepler-113 c",8.925079516,139.71389,0.111525,0.1082,0.627,0.693,0.049,-0.021,0.768,0.031,-0.047
9006186,2169.01,"Kepler-1130 b",5.45298742,134.15183,0.088866666666667,0.2291,0.4603,0.842,0.093,-0.033,0.944,0.039,-0.066
11410904,2171.01,"Kepler-1131 b",3.53232429,134.74727,0.115208333333333,0.2602,0.4096,0.956,0.143,-0.048,1.035,0.05,-0.068
10965588,2177.01,"Kepler-1132 b",62.8917493,139.12778,0.284625,0.1451,0.582,0.855,0.039,-0.072,0.805,0.056,-0.03
7286911,2180.01,"Kepler-1133 b",11.55562042,138.19752,0.069825,0.2291,0.4603,0.85,0.101,-0.034,0.945,0.034,-0.062
6962109,2182.01,"Kepler-1134 b",17.13263125,147.1546,0.1273125,0.2434,0.4341,0.794,0.176,-0.075,0.876,0.083,-0.102
8611781,2185.01,"Kepler-1135 b",76.957056,192.33682,0.397958333333333,0.2916,0.3447,1.041,0.281,-0.187,0.912,0.132,-0.088
8282651,2193.01,"Kepler-1136 b",2.361724472,133.23932,0.050695833333333,0.0775,0.666,0.651,0.046,-0.061,0.637,0.07,-0.051
11075429,2198.01,"Kepler-1137 b",23.9210408,139.07872,0.215583333333333,0.3269,0.2559,1.972,0.427,-0.475,1.521,0.171,-0.278
