"KIC","KOI","KepName","Period","T0","T14","ld1","ld2","R_star","rad_up","rad_down","mass","mass_up","mass_down"
9643874,1457.01,"Kepler-856 b",8.027681123,360.171355,0.128925,0.224,0.4695,0.887,0.237,-0.079,1.009,0.084,-0.126
7761545,1472.01,"Kepler-857 b",85.3514875,161.007608,0.281266666666667,0.2291,0.4603,0.938,0.127,-0.054,0.966,0.05,-0.055
12403119,1478.01,"Kepler-858 b",76.13622222,199.476237,0.330804166666667,0.2396,0.4415,0.892,0.113,-0.057,0.904,0.056,-0.056
7512982,1480.01,"Kepler-859 b",20.38174802,142.31499,0.158008333333333,0.1451,0.582,0.808,0.028,-0.055,0.779,0.043,-0.028
12735740,3663.01,"Kepler-86 b",282.5253558,363.071925,0.449854166666667,0.2622,0.4035,0.913,0.133,-0.048,0.974,0.054,-0.074
9597806,1481.01,"Kepler-860 b",5.101375725,357.48217,0.108125,0.2622,0.4035,0.954,0.297,-0.099,1.001,0.127,-0.127
9589323,1488.01,"Kepler-861 b",3.949627144,134.61096,0.064520833333333,0.1914,0.5167,0.836,0.104,-0.078,0.849,0.071,-0.071
9726659,1491.01,"Kepler-862 b",3.148661555,356.93612,0.091575,0.1959,0.5086,0.873,0.159,-0.119,0.797,0.112,-0.06
7629518,1495.01,"Kepler-863 b",15.59466045,137.5636,0.210325,0.2889,0.3511,0.929,0.297,-0.099,0.995,0.127,-0.127
9636135,1498.01,"Kepler-864 b",5.83376197,138.74892,0.166616666666667,0.3016,0.3403,1.195,0.351,-0.14,1.27,0.142,-0.156
7841925,1499.01,"Kepler-865 b",14.16400071,140.58934,0.179295833333333,0.2434,0.4341,0.885,0.193,-0.129,0.782,0.116,-0.062
7439316,1501.01,"Kepler-866 b",2.617028373,134.03294,0.08525,0.1142,0.6188,0.724,0.056,-0.068,0.706,0.081,-0.054
12400538,1503.01,"Kepler-867 b",150.2412582,138.29013,0.452041666666667,0.2327,0.4526,0.943,0.123,-0.082,0.916,0.062,-0.056
9813499,1505.01,"Kepler-868 b",5.03257009,137.32638,0.175541666666667,0.2916,0.3447,0.908,0.293,-0.078,0.996,0.118,-0.131
12254792,1506.01,"Kepler-869 b",40.4286676,139.50631,0.295916666666667,0.2787,0.3728,0.833,0.225,-0.075,0.925,0.101,-0.111
10028792,1574.01,"Kepler-87 b",114.73658,165.150671,0.501479166666667,0.2472,0.4288,1.699,0.147,-0.123,0.969,0.084,-0.063
